,repo,week,commits,total commits
792,glumpy,13,2.0,42.0
793,glumpy,14,0.0,42.0
794,glumpy,15,0.0,42.0
795,glumpy,16,0.0,42.0
796,glumpy,17,3.0,42.0
797,glumpy,18,1.0,42.0
798,glumpy,19,1.0,42.0
799,glumpy,20,0.0,42.0
800,glumpy,21,0.0,42.0
801,glumpy,22,0.0,42.0
802,glumpy,23,0.0,42.0
803,glumpy,24,0.0,42.0
804,glumpy,25,2.0,42.0
805,glumpy,26,1.0,42.0
806,glumpy,27,9.0,42.0
807,glumpy,28,8.0,42.0
808,glumpy,29,0.0,42.0
809,glumpy,30,0.0,42.0
810,glumpy,31,0.0,42.0
811,glumpy,32,0.0,42.0
812,glumpy,33,0.0,42.0
813,glumpy,34,0.0,42.0
814,glumpy,35,2.0,42.0
815,glumpy,36,7.0,42.0
816,glumpy,37,0.0,42.0
817,glumpy,38,0.0,42.0
818,glumpy,39,0.0,42.0
819,glumpy,40,0.0,42.0
820,glumpy,41,0.0,42.0
821,glumpy,42,0.0,42.0
822,glumpy,43,0.0,42.0
823,glumpy,44,0.0,42.0
824,glumpy,45,0.0,42.0
